Date,S&P 500,S&P 500 Minimum Volatility,MSCI ACWI,MSCI World,MSCI Europe,MSCI Emerging Markets,MSCI USA Small Cap Value Weighted,MSCI Europe Small Cap Value Weighted,FTSE World Government Bond - Developed Markets
11/1999,50105.83632133739,11358.8551450926,51060.52548281668,230610.35476050669,254559.12621378904,73426.66160245618,24167.05804100228,20622.2630523918,30381.971030508743
12/1999,53326.22866810132,11570.301774636671,55595.095819231545,250512.9941823113,282075.07193502854,83185.24963169421,25442.08212223771,21912.64681664344,30443.7384062833
01/2000,51966.05873946909,11242.62745092432,53965.93034419364,242288.2800773727,268807.9064112896,85860.4465529568,25163.87053824942,22279.08937187213,30525.6245806528
02/2000,51386.4792620835,10651.560469425567,54578.418900555895,244838.15944074243,285067.84480037587,87683.98721432983,25965.948591723285,23036.046781964174,30797.62797489837
03/2000,57364.30157278598,11919.305398094835,59146.62131267664,266141.69568614085,296872.4672042245,89596.89006594787,27530.783458599395,23372.132440071186,31946.974779966054
04/2000,58504.586453145566,12572.134258227848,59403.7398789213,267986.7222498553,298385.30461533973,85281.69219592736,28006.00541772152,23262.54794936709,32450.191419662944
05/2000,55961.41585305012,12833.086160593357,56506.237729764594,255050.1082766076,289010.43095136713,79840.17020316028,26590.825516500056,22796.81053853596,32135.24687216324
06/2000,55822.91665074519,12110.8119744663,56874.80399748849,256627.43990774656,287398.51975543634,80464.26473419841,26590.07630598577,23067.91484093764,31843.40095512492
07/2000,56810.97274556172,12460.708796711022,57073.7429406037,257817.0081875022,292383.80081749737,78910.68899707886,27932.373863464247,23592.798809910204,32385.50341397956
08/2000,62622.98638003693,13826.242688075456,61074.80238041771,276243.3113592198,299876.2685042332,82299.30855602966,30676.1963867056,24490.974819223004,33497.562852744995
09/2000,60271.12342589394,13802.320580034228,58648.87180832858,265729.3168800189,290434.59507620416,76321.59402167711,30643.021599543645,24379.44820992585,33681.56253700122
