Date,MSCI Europe Small Cap Value Weighted,MSCI USA Small Cap Value Weighted,MSCI Europe,MSCI World Momentum,MSCI ACWI,MSCI World,S&P 500 Minimum Volatility,MSCI Emerging Markets,FTSE World Government Bond - Developed Markets,S&P 500,MSCI USA Small Cap Value Weighted
02/1998,18098.369389516207,24435.5204333058,196134.29666105588,22823.51889165652,36196.27155053704,163160.93670644032,,62845.41200771138,25846.00584125982,34253.596854553405,24435.5204333058
03/1998,19889.520434902795,25613.05125587396,210876.65944594887,24442.908065103336,37879.80088454805,170652.24659611567,,65814.32496084033,25911.23653155465,36140.37048391496,25613.05125587396
04/1998,20425.41199414295,25719.427511668346,213510.76431165665,24837.69275503316,37975.89658643726,171127.45656904115,,64656.53191177816,25692.56423412401,36256.759877504766,25719.427511668346
05/1998,20971.220120764247,24188.34860310022,214517.924368949,24473.49070809228,36687.93287671234,166383.9192603877,,54946.140410958906,25671.379800292063,35090.85666363194,24188.34860310022
06/1998,20315.83673747277,24126.58167392884,218443.1866592716,25582.645639051105,37620.14901960785,171544.17313623577,,49539.67483660131,25880.283774716816,36781.39527653441,24126.58167392884
07/1998,20108.85341401274,22408.570884440403,223285.7337205117,26677.04881790596,37721.470373066426,171648.62106685134,,51231.3137033667,25666.367367880965,36475.82309109218,22408.570884440403
08/1998,17739.045696420482,18355.95155052107,194404.402583094,22485.59625494046,32304.33754417761,148126.53873703408,,36269.79267784323,26148.54757863993,31075.010653770016,18355.95155052107
09/1998,16068.197567170628,18361.39107732182,177924.91096089754,21325.95895684753,31409.90638444924,143689.37233193914,,36771.157477321816,26140.821723171648,31523.098743026138,18361.39107732182
10/1998,15858.548874282387,18386.28764456278,185068.22947182995,22048.35345073419,33012.210866128626,150867.18500687953,,39141.80467592978,26672.63290839484,32828.01582744618,18386.28764456278
11/1998,16667.473973118744,19858.72867905145,200554.6647025536,24306.480980407257,36029.613628970124,164439.9040039111,,43623.9635647633,26919.00185499468,35825.13205856945,19858.72867905145
12/1998,16739.571619598504,20527.47237495747,207988.02342530404,26468.80790575721,37462.341374617215,171348.44221891378,10000.0,42717.47567199728,27145.31120495718,37647.83637751166,20527.47237495747
01/1999,16963.640948699933,21249.486284258608,213401.6700022833,28625.866048904787,39477.1675509487,180796.55679470647,9936.701170063245,43401.64158468025,27810.218257883727,40503.79747793662,21249.486284258608
